numero,accuracy,precision,recall,f1_score
30,0.915,0.2,0.067,0.1
45,0.894,0.25,0.049,0.079
2,0.888,0.2,0.029,0.05
50,0.897,0.067,0.029,0.04
7,0.897,0.1,0.025,0.04
23,0.885,0.2,0.02,0.036
37,0.89,0.2,0.018,0.033
35,0.867,0.2,0.013,0.025
1,0.928,0.0,0.0,0.0
3,0.912,0.0,0.0,0.0
11,0.89,0.0,0.0,0.0
12,0.888,0.0,0.0,0.0
5,0.894,0.0,0.0,0.0
4,0.91,0.0,0.0,0.0
6,0.897,0.0,0.0,0.0
8,0.908,0.0,0.0,0.0
9,0.899,0.0,0.0,0.0
10,0.883,0.0,0.0,0.0
18,0.915,0.0,0.0,0.0
17,0.89,0.0,0.0,0.0
16,0.879,0.0,0.0,0.0
15,0.903,0.0,0.0,0.0
14,0.903,0.0,0.0,0.0
13,0.894,0.0,0.0,0.0
21,0.858,0.0,0.0,0.0
19,0.883,0.0,0.0,0.0
26,0.885,0.0,0.0,0.0
27,0.888,0.0,0.0,0.0
28,0.888,0.0,0.0,0.0
29,0.89,0.0,0.0,0.0
22,0.935,0.0,0.0,0.0
24,0.894,0.0,0.0,0.0
25,0.897,0.0,0.0,0.0
20,0.872,0.0,0.0,0.0
34,0.863,0.0,0.0,0.0
33,0.892,0.0,0.0,0.0
32,0.892,0.0,0.0,0.0
31,0.908,0.0,0.0,0.0
39,0.915,0.0,0.0,0.0
40,0.903,0.0,0.0,0.0
36,0.906,0.0,0.0,0.0
38,0.892,0.0,0.0,0.0
42,0.879,0.0,0.0,0.0
41,0.908,0.0,0.0,0.0
44,0.899,0.0,0.0,0.0
43,0.919,0.0,0.0,0.0
46,0.892,0.0,0.0,0.0
47,0.894,0.0,0.0,0.0
48,0.897,0.0,0.0,0.0
49,0.91,0.0,0.0,0.0
