numero,frequence,accuracy,precision,recall,f1_score
37,56,0.746,0.197,0.434,0.266
33,55,0.674,0.157,0.473,0.231
21,71,0.69,0.178,0.293,0.216
41,52,0.712,0.143,0.418,0.211
34,66,0.654,0.152,0.37,0.209
20,62,0.649,0.141,0.429,0.203
12,58,0.681,0.134,0.338,0.19
24,55,0.676,0.115,0.407,0.179
45,55,0.692,0.119,0.365,0.176
29,61,0.638,0.116,0.354,0.174
42,65,0.685,0.123,0.289,0.171
35,70,0.64,0.126,0.292,0.17
28,51,0.744,0.132,0.283,0.163
26,51,0.726,0.13,0.259,0.16
13,53,0.67,0.117,0.333,0.158
31,44,0.715,0.105,0.338,0.154
10,62,0.636,0.103,0.304,0.152
15,54,0.733,0.108,0.323,0.15
25,55,0.706,0.105,0.275,0.147
48,55,0.667,0.108,0.241,0.142
46,57,0.69,0.099,0.244,0.14
9,51,0.69,0.108,0.224,0.14
50,53,0.708,0.101,0.236,0.138
17,58,0.672,0.097,0.266,0.136
23,58,0.625,0.096,0.281,0.136
1,38,0.791,0.094,0.225,0.132
47,53,0.73,0.099,0.189,0.13
39,45,0.71,0.086,0.284,0.129
4,46,0.688,0.081,0.351,0.128
22,36,0.769,0.086,0.242,0.124
36,52,0.674,0.085,0.259,0.121
32,54,0.706,0.085,0.21,0.121
27,56,0.649,0.083,0.248,0.119
16,63,0.647,0.082,0.192,0.114
49,48,0.699,0.077,0.235,0.114
11,57,0.629,0.073,0.273,0.112
6,51,0.699,0.077,0.197,0.108
14,52,0.652,0.07,0.258,0.108
2,58,0.663,0.09,0.171,0.106
40,47,0.719,0.101,0.164,0.105
30,47,0.703,0.078,0.21,0.104
7,56,0.656,0.063,0.248,0.1
43,41,0.742,0.076,0.153,0.095
8,46,0.712,0.062,0.195,0.094
18,49,0.654,0.059,0.257,0.093
19,60,0.618,0.063,0.185,0.093
5,49,0.739,0.066,0.146,0.087
3,48,0.708,0.065,0.14,0.082
38,52,0.683,0.059,0.135,0.078
44,53,0.667,0.048,0.149,0.069
