boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
10,16,23,24,39,3,9
14,32,33,38,41,4,5
3,27,32,47,48,1,2
18,23,26,29,33,6,12
8,11,33,39,40,7,9
1,14,21,22,46,1,6
9,13,25,28,50,9,10
22,31,38,39,46,4,7
6,10,25,27,32,3,9
3,14,18,46,47,9,12
23,24,33,38,47,2,12
7,17,30,32,47,3,11
20,27,33,38,44,1,9
14,26,31,34,39,4,10
13,16,25,29,30,4,12
12,18,21,26,47,3,10
9,14,27,30,44,10,12
2,6,19,29,50,1,4
18,26,27,30,31,9,12
5,24,26,34,41,2,12
13,30,31,35,50,5,7
23,24,30,39,42,1,6
10,11,20,31,44,10,12
20,23,34,39,40,1,3
1,13,26,33,46,1,2
1,4,23,25,30,9,10
3,19,23,27,31,3,10
14,24,25,41,43,8,12
6,14,25,28,47,4,5
6,16,17,26,44,11,12
14,22,26,32,39,3,8
6,11,32,33,48,5,9
2,14,16,31,46,6,12
2,3,11,23,25,7,9
15,17,26,32,50,3,12
14,26,31,32,39,3,4
8,11,18,34,43,4,7
2,3,11,23,30,4,5
27,29,39,44,48,2,7
3,4,18,43,50,1,2
4,24,26,44,46,2,7
4,11,26,30,38,4,7
18,25,39,40,41,1,6
11,26,27,33,34,4,12
3,20,26,46,50,1,2
6,14,20,26,30,2,4
4,5,18,27,32,4,6
6,7,20,29,33,5,8
9,23,30,31,32,2,6
18,34,38,41,47,1,5
