numero,type,frequence,accuracy,precision,recall,f1_score,probabilite_%
26,numero,51,0.726,0.13,0.259,0.16,92.36
47,numero,53,0.73,0.099,0.189,0.13,90.8
4,numero,46,0.688,0.081,0.351,0.128,89.43
33,numero,55,0.674,0.157,0.473,0.231,88.89
14,numero,52,0.652,0.07,0.258,0.108,87.69
39,numero,45,0.71,0.086,0.284,0.129,77.14
23,numero,58,0.625,0.096,0.281,0.136,75.58
6,numero,51,0.699,0.077,0.197,0.108,74.09
18,numero,49,0.654,0.059,0.257,0.093,64.56
4,etoile,74,0.553,0.108,0.318,0.156,61.37
3,etoile,107,0.508,0.193,0.422,0.264,61.25
31,numero,44,0.715,0.105,0.338,0.154,60.33
30,numero,47,0.703,0.078,0.21,0.104,59.31
12,etoile,91,0.533,0.131,0.313,0.181,58.28
44,numero,53,0.667,0.048,0.149,0.069,57.96
5,etoile,75,0.553,0.149,0.472,0.217,57.15
2,etoile,97,0.503,0.169,0.416,0.24,57.11
27,numero,56,0.649,0.083,0.248,0.119,56.32
29,numero,61,0.638,0.116,0.354,0.174,55.86
46,numero,57,0.69,0.099,0.244,0.14,52.71
25,numero,55,0.706,0.105,0.275,0.147,52.46
24,numero,55,0.676,0.115,0.407,0.179,50.92
10,etoile,86,0.591,0.207,0.515,0.289,49.8
11,etoile,88,0.499,0.156,0.424,0.222,47.3
11,numero,57,0.629,0.073,0.273,0.112,46.96
1,etoile,83,0.562,0.156,0.446,0.229,46.95
20,numero,62,0.649,0.141,0.429,0.203,46.63
7,numero,56,0.656,0.063,0.248,0.1,45.53
6,etoile,98,0.569,0.208,0.497,0.293,44.11
50,numero,53,0.708,0.101,0.236,0.138,43.32
41,numero,52,0.712,0.143,0.418,0.211,43.29
38,numero,52,0.683,0.059,0.135,0.078,43.05
32,numero,54,0.706,0.085,0.21,0.121,42.59
9,etoile,93,0.548,0.183,0.514,0.265,42.0
9,numero,51,0.69,0.108,0.224,0.14,38.66
7,etoile,92,0.506,0.154,0.434,0.227,36.31
34,numero,66,0.654,0.152,0.37,0.209,35.59
17,numero,58,0.672,0.097,0.266,0.136,33.56
43,numero,41,0.742,0.076,0.153,0.095,33.16
8,etoile,90,0.526,0.147,0.411,0.216,32.58
8,numero,46,0.712,0.062,0.195,0.094,30.27
13,numero,53,0.67,0.117,0.333,0.158,29.07
2,numero,58,0.663,0.09,0.171,0.106,27.33
16,numero,63,0.647,0.082,0.192,0.114,26.98
10,numero,62,0.636,0.103,0.304,0.152,26.86
1,numero,38,0.791,0.094,0.225,0.132,26.56
5,numero,49,0.739,0.066,0.146,0.087,23.5
48,numero,55,0.667,0.108,0.241,0.142,23.5
28,numero,51,0.744,0.132,0.283,0.163,22.93
22,numero,36,0.769,0.086,0.242,0.124,19.92
40,numero,47,0.719,0.101,0.164,0.105,17.59
36,numero,52,0.674,0.085,0.259,0.121,17.01
12,numero,58,0.681,0.134,0.338,0.19,16.98
19,numero,60,0.618,0.063,0.185,0.093,16.79
3,numero,48,0.708,0.065,0.14,0.082,14.11
42,numero,65,0.685,0.123,0.289,0.171,9.15
35,numero,70,0.64,0.126,0.292,0.17,8.88
15,numero,54,0.733,0.108,0.323,0.15,8.59
21,numero,71,0.69,0.178,0.293,0.216,7.12
45,numero,55,0.692,0.119,0.365,0.176,3.44
49,numero,48,0.699,0.077,0.235,0.114,2.1
37,numero,56,0.746,0.197,0.434,0.266,1.72
